artist_name,track_name,track_id,popularity
Tinnitus,New Year Raindrops,0R7LyWpuZyiBSUwkKeBAB1,0
Migos,Modern Day,2Igem6Q4sfvXGJ3JkG7Baw,80
Tinnitus,New Year Raindrops,4hUYZJixvhCgTDQ2WHFOFQ,0
Ashnikko,Slumber Party (feat. Princess Nokia),11ZulcYY4lowvcQm4oe3VJ,85
Workout Music ,Dance Monkey (Cardio + Running Workout Mix),3l0kXPzghY1QBFEjTCFBGE,7
City Girls,Twerkulator,2Ty7EDf9XLYzEUqEIwJfDC,78
Workout Music ,Holy (Cardio + Running Workout Mix),5cPGbdhn8f2g93ahuZeHok,7
Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,77
Workout Music ,Dynamite (Cardio + Running Workout Mix),57rSgovzvnDRUxx3S8vptn,8
Jhay Cortez,Christian Dior,4jOBQxq4Ffd8DDrsN4wPOR,82
Workout Music ,Rain on Me (Cardio + Running Workout Mix),3YCKr4hl75dPa0s1aEFrtN,8
Rod Wave,Richer (feat. Polo G),7HsjuVBM93Z2RoxjpWLgTT,78
Workout Music ,Midnight Sky (Cardio + Running Workout Mix),6Idum5xZGpi5XtdaaYijda,7
Justin Bieber,Anyone,06l09dfsEnEFdTBf3SvyMc,0
Workout Music ,Memories (Cardio + Running Workout Mix),4P6AmXmdBRejPAOEAcMyn7,7
Justin Bieber,Die In Your Arms,07jF1COl0xdEcV9aiLtFPL,0
Workout Music ,Watermelon Sugar (Cardio + Running Workout Mix),6IXIH9tCXSCIszopK22TX4,6
Justin Bieber,Anyone,0eB5EfQQZrb7QKyGX3lDif,1
Workout Music ,ily (i love you baby) Cardio + Running Workout Mix],3Bbcv3oDNCR0RQuvAsC0al,6
Justin Bieber,Love Yourself,13W2vZP0BgzOgvgnSXM8kp,0
Workout Music ,Wonder (Cardio + Running Workout Mix),3SupNkFBy6hvWhVAbChcnc,7
Justin Bieber,Anyone,1PCvs9dJ8fjS3BpN6b0C3A,0
Workout Music ,Lose Somebody (Cardio + Running Workout Mix),5pYC8zTExjCyNebvmrXIij,6
Justin Bieber,Hold On,1shUlcAN8DrqcZlfv8Dpn9,0
Mindfulness Meditation Music Spa Maestro,Asian Vibe,5w8tgIWyZSpK70HHJjjlsA,11
Justin Bieber,Hold On,1vgPBxY0RhHFJhMy6ZEkHi,3
Mindfulness Meditation Music Spa Maestro,Theravada Meditation,69qCyRWc6wdHfkGtGIW8rE,10
Justin Bieber,Holy,1xwUNBI15ElQQfMIxLBdpX,0
Chinese Relaxation and Meditation,New Years Eve,2JovPrtWdFFPKtX7Nyhi0a,6
Justin Bieber,Hold On,23jWSTkVjCsMH714BOIH4Q,0
Mysterious World Music,Last Year,7qzF2z1R1YQc5BhZPefFC0,1
Justin Bieber,Hold On,28MuNmtUYRoDFQ1UPb7CNh,0
Coffee Shop Jazz Relax,Incredible New Years Resolutions,3YOBlzV4i2E3X1EdE1o0pP,4
Justin Bieber,Yummy,28sCNRRyA6N82GjFSZAXtk,0
WoT Music Team,Magic New Year - Version 1,5AbmKND6U53QrWJUrfC4YT,5
Justin Bieber,Anyone,2J3tYAL8n8BBRjg6cTWWGn,0
Jorma Kaukonen,Too Many Years - Live - Early Show,00ZVosTjoBiBNuk6gwXU7v,3
Justin Bieber,Sorry,2SPKzwjGOi4sJEVgjlKCy6,5
Romy Monteiro,Het Duurt Nu Al Een Jaar (What's Another Year),6Ib3shbhEufj0brhIcymuV,37
Justin Bieber,Intentions,2V59u9VfPLoT4ttq2PpxZB,0
Coffee Shop Jazz Relax,Friendly Jazz Piano Solo - Vibe for New Years Resolutions,1f6VxCiiAmzOpcXXo74vX4,4
Justin Bieber,Love Yourself,2eQ3DXqfLjP9Eqy8VoPW30,4
Years & Years,King,3FppgRzM3Jq6TGUQGCjsHk,19
Justin Bieber,Anyone,2gWCXtqfMrg3fVxUXWxfGP,0
Year Nineteen,Cinderella,2t53kz6w6UfDogTk31RSuS,7
Justin Bieber,What Do You Mean?,35LcOpZfxCQpzKgvnTcws6,0
MIKA,"Relax, Take It Easy",6XeXouPlZ5JF31KSQIwqu0,9
Justin Bieber,All Around Me,35bDcmadDaKXMBlX9cTLx9,0
Topic,Breaking Me,22EFwJbro1F41u4SD6ZiTC,5
Justin Bieber,Anyone,3DquaiwZedJ2Ifh96pR4wr,0
Maroon 5,What Lovers Do,24mNMaxyc5gwumgdKox025,7
Justin Bieber,Lonely,3jFLUvG23wj5cQLhtbpyDx,0
